SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
INF119,25,ESTRUCTURAS DISCRETAS,GUTIERREZ BRUNO KATIME ESTHER,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
INF119,Z6,ESTRUCTURAS DISCRETAS,MARTINEZ CARDONA SARAH MIRNA,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
INF119,SE,ESTRUCTURAS DISCRETAS,VARGAS CASTILLO CIRO EDGAR,Mar,18:15-20:30,Jue,18:15-20:30,,
INF119,SF,ESTRUCTURAS DISCRETAS,MARTINEZ CARDONA SARAH MIRNA,Lun,07:00-08:30,Mar,07:00-08:30,Jue,07:00-08:30
INF119,SH,ESTRUCTURAS DISCRETAS,MIRANDA CARRASCO CARLOS,Mar,07:00-09:15,Jue,07:00-09:15,,
INF119,SK,ESTRUCTURAS DISCRETAS,GUTIERREZ BRUNO KATIME ESTHER,Mar,07:00-09:15,Jue,07:00-09:15,,
INF119,Z4,ESTRUCTURAS DISCRETAS,ZABALA QUIROZ NOLBERTO,Lun,15:15-16:45,Mar,15:15-16:45,Vie,15:15-16:45
INF119,Z2,ESTRUCTURAS DISCRETAS,ZABALA QUIROZ NOLBERTO,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
INF119,Z3,ESTRUCTURAS DISCRETAS,ZABALA QUIROZ NOLBERTO,Lun,13:45-15:15,Mie,13:45-15:15,Vie,13:45-15:15
INF119,MV,ESTRUCTURAS DISCRETAS,INOCENTE BALDERRAMA DAVID,Mar,Virtual,,,
ADM320,SA,FINANZAS PARA LA EMPRESA,TERRAZAS SOTO RICARDO,Mar,11:30-13:45,Jue,11:30-13:45,,
ADM320,SC,FINANZAS PARA LA EMPRESA,CABELLO MERIDA JUAN RUBEN,Mar,07:00-09:15,Jue,07:00-09:15,,
FIS100,11,FISICA I,LAMAS RODRIGUEZ MARCOS RODRIGO,Mar,16:00-18:15,Jue,16:00-18:15,Sab,19:00-20:30
FIS100,SG,FISICA I,SANCHEZ HERVAS JOSE GABRIEL,Lun,13:00-14:30,Mar,07:00-09:15,Jue,07:00-09:15
FIS100,Z4,FISICA I,CALDERON FLORES MODESTO FRANKLIN,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
FIS100,SI,FISICA I,CAYOJA LUCANA VICTOR MILTON,Mar,07:00-09:15,Jue,07:00-09:15,Vie,10:00-11:30
FIS100,SK,FISICA I,CAYOJA LUCANA VICTOR MILTON,Mar,16:00-18:15,Jue,16:00-18:15,Vie,16:00-17:30
FIS100,SM,FISICA I,SANCHEZ VELASCO ENRIQUE,Lun,15:15-16:45,Mar,15:15-18:15,Mie,15:15-16:45
FIS100,SP,FISICA I,CANO CESPEDES JORGE,Lun,07:00-19:15,Mie,07:00-19:15,,
FIS100,Z1,FISICA I,ORTIZ ARTEAGA VICTOR HUGO,Mar,07:00-09:15,Jue,07:00-09:15,,
FIS100,Z2,FISICA I,ROMAN ROCA RUFINO WILBERTO,Mar,07:00-09:15,Jue,07:00-09:15,,
FIS100,Z5,FISICA I,LAZO ARTEAGA CARLOS ROBERTO,Mar,18:15-20:30,Jue,18:15-20:30,Mar,16:45-18:15
FIS100,R1,FISICA I,ARANIBAR QUIROZ MARTHA MONICA,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
FIS100,26,FISICA I,ARTUNDUAGA VASQUEZ ADRIAN RICARDO,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
FIS100,MV,FISICA I,ROBLES OTONDO SERGIO ARYINDER,Mar,Virtual,,,
FIS102,NW,FISICA II,CALDERON FLORES MODESTO FRANKLIN,Lun,18:15-20:30,Mar,20:30-22:00,Mie,18:15-20:30
